"location_id","borough","zone","service_zone","latitude","longitude","geolocation"
1,"EWR","Newark Airport","EWR","40.689531","-74.174462","(40.689531, -74.174462)"
2,"Queens","Jamaica Bay","Boro Zone","40.6039936","-73.8354124","(40.6039936, -73.8354124)"
3,"Bronx","Allerton/Pelham Gardens","Boro Zone","40.84768445","-73.8702246","(40.84768445, -73.8702246)"
4,"Manhattan","Alphabet City","Yellow Zone","40.7251022","-73.9795833","(40.7251022, -73.9795833)"
5,"Staten Island","Arden Heights","Boro Zone","40.558787300000006","-74.18142840336813","(40.558787300000006, -74.18142840336813)"
6,"Staten Island","Arrochar/Fort Wadsworth","Boro Zone","40.6037156","-74.06764105","(40.6037156, -74.06764105)"
7,"Queens","Astoria","Boro Zone","40.7720145","-73.9302673","(40.7720145, -73.9302673)"
8,"Queens","Astoria Park","Boro Zone","40.7788277","-73.92265804019786","(40.7788277, -73.92265804019786)"
9,"Queens","Auburndale","Boro Zone","40.761324","-73.7919464","(40.761324, -73.7919464)"
10,"Queens","Baisley Park","Boro Zone","40.6681753","-73.7881176","(40.6681753, -73.7881176)"
11,"Brooklyn","Bath Beach","Boro Zone","40.6018495","-74.000501","(40.6018495, -74.000501)"
12,"Manhattan","Battery Park","Yellow Zone","40.702786","-74.01577307510607","(40.702786, -74.01577307510607)"
13,"Manhattan","Battery Park City","Yellow Zone","40.7110166","-74.0169369","(40.7110166, -74.0169369)"
14,"Brooklyn","Bay Ridge","Boro Zone","40.6320062","-74.0232101","(40.6320062, -74.0232101)"
15,"Queens","Bay Terrace/Fort Totten","Boro Zone","40.7896359","-73.77885001854743","(40.7896359, -73.77885001854743)"
16,"Queens","Bayside","Boro Zone","40.7684351","-73.7770774","(40.7684351, -73.7770774)"
17,"Brooklyn","Bedford","Boro Zone","40.7072684","-73.9644703","(40.7072684, -73.9644703)"
18,"Bronx","Bedford Park","Boro Zone","40.8700999","-73.8856912","(40.8700999, -73.8856912)"
19,"Queens","Bellerose","Boro Zone","40.7324437","-73.8566427","(40.7324437, -73.8566427)"
20,"Bronx","Belmont","Boro Zone","40.8552778","-73.8863889","(40.8552778, -73.8863889)"
21,"Brooklyn","Bensonhurst East","Boro Zone","40.611374","-73.996839","(40.611374, -73.996839)"
22,"Brooklyn","Bensonhurst West","Boro Zone","40.604824","-74.006226","(40.604824, -74.006226)"
23,"Staten Island","Bloomfield/Emerson Hill","Boro Zone","40.61065225","-74.13698255","(40.61065225, -74.13698255)"
24,"Manhattan","Bloomingdale","Yellow Zone","40.7997764","-73.9677716","(40.7997764, -73.9677716)"
25,"Brooklyn","Boerum Hill","Boro Zone","40.68562615","-73.98417065807277","(40.68562615, -73.98417065807277)"
26,"Brooklyn","Borough Park","Boro Zone","40.633993","-73.9968059","(40.633993, -73.9968059)"
27,"Queens","Breezy Point/Fort Tilden/Riis Beach","Boro Zone","40.56331183333334","-73.89486785838709","(40.56331183333334, -73.89486785838709)"
28,"Queens","Briarwood/Jamaica Hills","Boro Zone","40.7098528","-73.8209071","(40.7098528, -73.8209071)"
29,"Brooklyn","Brighton Beach","Boro Zone","40.57964365","-73.96111022551311","(40.57964365, -73.96111022551311)"
30,"Queens","Broad Channel","Boro Zone","40.6033064","-73.8242776","(40.6033064, -73.8242776)"
31,"Bronx","Bronx Park","Boro Zone","40.8313889","-73.8830556","(40.8313889, -73.8830556)"
32,"Bronx","Bronxdale","Boro Zone","40.8506558","-73.8665241","(40.8506558, -73.8665241)"
33,"Brooklyn","Brooklyn Heights","Boro Zone","40.696084850000005","-73.9950278391265","(40.696084850000005, -73.9950278391265)"
34,"Brooklyn","Brooklyn Navy Yard","Boro Zone","40.6997716","-73.9753359","(40.6997716, -73.9753359)"
35,"Brooklyn","Brownsville","Boro Zone","40.665306","-73.9124755","(40.665306, -73.9124755)"
36,"Brooklyn","Bushwick North","Boro Zone","40.697552","-73.921286","(40.697552, -73.921286)"
37,"Brooklyn","Bushwick South","Boro Zone","40.6942867","-73.92588360783884","(40.6942867, -73.92588360783884)"
38,"Queens","Cambria Heights","Boro Zone","40.6945474","-73.7384653","(40.6945474, -73.7384653)"
39,"Brooklyn","Canarsie","Boro Zone","40.643715","-73.9006921","(40.643715, -73.9006921)"
40,"Brooklyn","Carroll Gardens","Boro Zone","40.6784201","-73.9948021","(40.6784201, -73.9948021)"
41,"Manhattan","Central Harlem","Boro Zone","40.7982754","-73.9525303","(40.7982754, -73.9525303)"
42,"Manhattan","Central Harlem North","Boro Zone","40.7972529","-73.949906","(40.7972529, -73.949906)"
43,"Manhattan","Central Park","Yellow Zone","40.7827725","-73.9653627406542","(40.7827725, -73.9653627406542)"
44,"Staten Island","Charleston/Tottenville","Boro Zone","40.52477015","-74.24466874999999","(40.524770149999995, -74.24466874999999)"
45,"Manhattan","Chinatown","Yellow Zone","40.7164913","-73.9962504","(40.7164913, -73.9962504)"
46,"Bronx","City Island","Boro Zone","40.8473226","-73.7865218","(40.8473226, -73.7865218)"
47,"Bronx","Claremont/Bathgate","Boro Zone","40.84058125","-73.9037411630053","(40.84058125, -73.9037411630053)"
48,"Manhattan","Clinton East","Yellow Zone","40.7212687","-73.9836882","(40.7212687, -73.9836882)"
49,"Brooklyn","Clinton Hill","Boro Zone","40.6897222","-73.9652778","(40.6897222, -73.9652778)"
50,"Manhattan","Clinton West","Yellow Zone","40.7644228","-73.9923918","(40.7644228, -73.9923918)"
51,"Bronx","Co-Op City","Boro Zone","40.84528585","-73.86986532709017","(40.845285849999996, -73.86986532709017)"
52,"Brooklyn","Cobble Hill","Boro Zone","40.687547","-73.9973352","(40.687547, -73.9973352)"
53,"Queens","College Point","Boro Zone","40.7937011","-73.8530589","(40.7937011, -73.8530589)"
54,"Brooklyn","Columbia Street","Boro Zone","40.6913154","-73.9996139","(40.6913154, -73.9996139)"
55,"Brooklyn","Coney Island","Boro Zone","40.5765081","-73.9929419","(40.5765081, -73.9929419)"
56,"Queens","Corona","Boro Zone","40.7469593","-73.8601456","(40.7469593, -73.8601456)"
57,"Queens","Corona","Boro Zone","40.7469593","-73.8601456","(40.7469593, -73.8601456)"
58,"Bronx","Country Club","Boro Zone","40.8391667","-73.8197222","(40.8391667, -73.8197222)"
59,"Bronx","Crotona Park","Boro Zone","40.83881315","-73.89239847631723","(40.83881315, -73.89239847631723)"
60,"Bronx","Crotona Park East","Boro Zone","40.8366261","-73.8925344","(40.8366261, -73.8925344)"
61,"Brooklyn","Crown Heights North","Boro Zone","40.66892005","-73.93294101340285","(40.66892005, -73.93294101340285)"
62,"Brooklyn","Crown Heights South","Boro Zone","40.664776","-73.944799","(40.664776, -73.944799)"
63,"Brooklyn","Cypress Hills","Boro Zone","40.6770477","-73.8912474","(40.6770477, -73.8912474)"
64,"Queens","Douglaston","Boro Zone","40.7681752","-73.7493059","(40.7681752, -73.7493059)"
65,"Brooklyn","Downtown Brooklyn/MetroTech","Boro Zone","40.69309815","-73.98620028774063","(40.693098150000004, -73.98620028774063)"
66,"Brooklyn","DUMBO/Vinegar Hill","Boro Zone","40.6981927","-73.9943326","(40.6981927, -73.9943326)"
67,"Brooklyn","Dyker Heights","Boro Zone","40.6204716","-74.0116668","(40.6204716, -74.0116668)"
68,"Manhattan","East Chelsea","Yellow Zone","40.7366095","-73.99230294586846","(40.7366095, -73.99230294586846)"
69,"Bronx","East Concourse/Concourse Village","Boro Zone","40.818671575","-73.92533810609413","(40.818671574999996, -73.92533810609413)"
70,"Queens","East Elmhurst","Boro Zone","40.7612123","-73.8651358","(40.7612123, -73.8651358)"
71,"Brooklyn","East Flatbush/Farragut","Boro Zone","40.676987475","-73.95603960241907","(40.676987475000004, -73.95603960241907)"
72,"Brooklyn","East Flatbush/Remsen Village","Boro Zone","40.6537148","-73.9304151","(40.6537148, -73.9304151)"
73,"Queens","East Flushing","Boro Zone","40.7575366","-73.78430452865169","(40.757536599999995, -73.78430452865169)"
74,"Manhattan","East Harlem North","Boro Zone","40.797628","-73.937595","(40.797628, -73.937595)"
75,"Manhattan","East Harlem South","Boro Zone","40.791642","-73.944658","(40.791642, -73.944658)"
76,"Brooklyn","East New York","Boro Zone","40.6758826","-73.9032829","(40.6758826, -73.9032829)"
77,"Brooklyn","East New York/Pennsylvania Avenue","Boro Zone","40.67518135","-73.89990664999999","(40.67518135, -73.89990664999999)"
78,"Bronx","East Tremont","Boro Zone","40.8453781","-73.8909693","(40.8453781, -73.8909693)"
79,"Manhattan","East Village","Yellow Zone","40.7292688","-73.9873613","(40.7292688, -73.9873613)"
80,"Brooklyn","East Williamsburg","Boro Zone","40.7000919","-73.9617607","(40.7000919, -73.9617607)"
81,"Bronx","Eastchester","Boro Zone","40.8772222","-73.8491667","(40.8772222, -73.8491667)"
82,"Queens","Elmhurst","Boro Zone","40.7365804","-73.8783932","(40.7365804, -73.8783932)"
83,"Queens","Elmhurst/Maspeth","Boro Zone","40.7298692","-73.89551510000001","(40.729869199999996, -73.89551510000001)"
84,"Staten Island","Eltingville/Annadale/Prince's Bay","Boro Zone","40.53857076666667","-74.18060116666668","(40.53857076666667, -74.18060116666668)"
85,"Brooklyn","Erasmus","Boro Zone","40.6494444","-73.9575","(40.6494444, -73.9575)"
86,"Queens","Far Rockaway","Boro Zone","40.6053825","-73.7551326","(40.6053825, -73.7551326)"
87,"Manhattan","Financial District North","Yellow Zone","40.70932","-74.00868","(40.70932, -74.00868)"
88,"Manhattan","Financial District South","Yellow Zone","40.703277","-74.01335","(40.703277, -74.01335)"
89,"Brooklyn","Flatbush/Ditmas Park","Boro Zone","40.644791175","-73.96121624961783","(40.644791175, -73.96121624961783)"
90,"Manhattan","Flatiron","Yellow Zone","40.7410592","-73.98964162240998","(40.741059199999995, -73.98964162240998)"
91,"Brooklyn","Flatlands","Boro Zone","40.6212155","-73.9348597","(40.6212155, -73.9348597)"
92,"Queens","Flushing","Boro Zone","40.7654301","-73.8174291","(40.7654301, -73.8174291)"
93,"Queens","Flushing Meadows-Corona Park","Boro Zone","40.745075675","-73.85264208174303","(40.745075675, -73.85264208174303)"
94,"Bronx","Fordham South","Boro Zone","40.85408","-73.8973","(40.85408, -73.8973)"
95,"Queens","Forest Hills","Boro Zone","40.723100900000006","-73.84661252338407","(40.723100900000006, -73.84661252338407)"
96,"Queens","Forest Park/Highland Park","Boro Zone","40.6952035","-73.86693192139363","(40.6952035, -73.86693192139363)"
97,"Brooklyn","Fort Greene","Boro Zone","40.6907711","-73.9766245","(40.6907711, -73.9766245)"
98,"Queens","Fresh Meadows","Boro Zone","40.7348246","-73.7934668","(40.7348246, -73.7934668)"
99,"Staten Island","Freshkills Park","Boro Zone","40.5812","-74.1917","(40.5812, -74.1917)"
100,"Manhattan","Garment District","Yellow Zone","40.7536941","-73.9905167","(40.7536941, -73.9905167)"
101,"Queens","Glen Oaks","Boro Zone","40.7470463","-73.7115199","(40.7470463, -73.7115199)"
102,"Queens","Glendale","Boro Zone","40.7014917","-73.8868028","(40.7014917, -73.8868028)"
103,"Manhattan","Governor's Island/Ellis Island/Liberty Island","Yellow Zone","40.693282583333335","-74.03318505407141","(40.693282583333335, -74.03318505407141)"
104,"Manhattan","Governor's Island/Ellis Island/Liberty Island","Yellow Zone","40.693282583333335","-74.03318505407141","(40.693282583333335, -74.03318505407141)"
105,"Manhattan","Governor's Island/Ellis Island/Liberty Island","Yellow Zone","40.693282583333335","-74.03318505407141","(40.693282583333335, -74.03318505407141)"
106,"Brooklyn","Gowanus","Boro Zone","40.6791695","-73.9885041","(40.6791695, -73.9885041)"
107,"Manhattan","Gramercy","Yellow Zone","40.7355189","-73.9840794","(40.7355189, -73.9840794)"
108,"Brooklyn","Gravesend","Boro Zone","40.5961338","-73.9739426","(40.5961338, -73.9739426)"
109,"Staten Island","Great Kills","Boro Zone","40.5542718","-74.1515318","(40.5542718, -74.1515318)"
110,"Staten Island","Great Kills Park","Boro Zone","40.554418","-74.10809959215749","(40.554418, -74.10809959215749)"
111,"Brooklyn","Green-Wood Cemetery","Boro Zone","40.6534","-73.9906","(40.6534, -73.9906)"
112,"Brooklyn","Greenpoint","Boro Zone","40.7237134","-73.9509714","(40.7237134, -73.9509714)"
113,"Manhattan","Greenwich Village North","Yellow Zone","40.734823","-73.996708","(40.734823, -73.996708)"
114,"Manhattan","Greenwich Village South","Yellow Zone","40.7335844","-74.0028172","(40.7335844, -74.0028172)"
115,"Staten Island","Grymes Hill/Clifton","Boro Zone","40.62010615","-74.082483","(40.62010615, -74.082483)"
116,"Manhattan","Hamilton Heights","Boro Zone","40.8241451","-73.9500618","(40.8241451, -73.9500618)"
117,"Queens","Hammels/Arverne","Boro Zone","40.59111965","-73.80034865","(40.591119649999996, -73.80034865)"
118,"Staten Island","Heartland Village/Todt Hill","Boro Zone","40.5931302","-74.1279026","(40.593130200000004, -74.1279026)"
119,"Bronx","Highbridge","Boro Zone","40.8355038","-73.9320521","(40.8355038, -73.9320521)"
120,"Manhattan","Highbridge Park","Boro Zone","40.84595055","-73.92990605351383","(40.84595055, -73.92990605351383)"
121,"Queens","Hillcrest/Pomonok","Boro Zone","40.7324478","-73.80883093979648","(40.7324478, -73.80883093979648)"
122,"Queens","Hollis","Boro Zone","40.7134361","-73.7670772","(40.7134361, -73.7670772)"
123,"Brooklyn","Homecrest","Boro Zone","40.6038452","-73.9561526673943","(40.6038452, -73.9561526673943)"
124,"Queens","Howard Beach","Boro Zone","40.6578815","-73.8362459","(40.6578815, -73.8362459)"
125,"Manhattan","Hudson Sq","Yellow Zone","40.7268035","-74.0079833","(40.7268035, -74.0079833)"
126,"Bronx","Hunts Point","Boro Zone","40.8018068","-73.8734865","(40.8018068, -73.8734865)"
127,"Manhattan","Inwood","Boro Zone","40.8692579","-73.9204949","(40.8692579, -73.9204949)"
128,"Manhattan","Inwood Hill Park","Boro Zone","40.87227365","-73.9254270915026","(40.87227365, -73.9254270915026)"
129,"Queens","Jackson Heights","Boro Zone","40.7556561","-73.8857755","(40.7556561, -73.8857755)"
130,"Queens","Jamaica","Boro Zone","40.6987631","-73.8088251","(40.6987631, -73.8088251)"
131,"Queens","Jamaica Estates","Boro Zone","40.71334555","-73.78251095420785","(40.71334555, -73.78251095420785)"
